dataset,model,selection_method,opt_metric,n_features_selected,features_percent,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std
adult,DT,attention,balanced_accuracy,1,0.1,0.5901529586790709,0.004317895241640494,0.7922279211378495,0.0025784752854881407
adult,DT,attention,balanced_accuracy,2,0.2,0.6405566249271623,0.008111304782287387,0.7933335429036555,0.005598295702105796
adult,DT,attention,balanced_accuracy,4,0.3,0.7008067918728285,0.005113700503805002,0.7890748560042317,0.004277092476798237
adult,DT,attention,log_loss,1,0.1,0.6382356704856017,0.003745274260257711,0.8038572549473265,0.002359729557279235
adult,DT,attention,log_loss,2,0.2,0.6558417616686795,0.00500102829274394,0.8021783284168136,0.004123861522141826
adult,DT,attention,log_loss,4,0.3,0.7196905701213512,0.007173905359583083,0.8062939207002667,0.005664145669751165
adult,DT,decision_tree,balanced_accuracy,1,0.1,0.5299426224999552,0.0043424861066071905,0.7644240127351694,0.0029177986915340944
adult,DT,decision_tree,balanced_accuracy,2,0.2,0.5306993195459115,0.004105167636522317,0.7647720880832447,0.002807884453006541
adult,DT,decision_tree,balanced_accuracy,4,0.3,0.585712375947758,0.002866179469686209,0.6890996020678724,0.004998120432045379
adult,DT,decision_tree,log_loss,1,0.1,0.5299427605324479,0.0017005134059945655,0.7644240462664209,0.0009054047263046669
adult,DT,decision_tree,log_loss,2,0.2,0.5306590589964474,0.001495035786552407,0.7647106839788519,0.000816952200839019
adult,DT,decision_tree,log_loss,4,0.3,0.5853115297522062,0.00715438455556191,0.6884444936236134,0.004448045316964389
adult,DT,f_classif,balanced_accuracy,1,0.1,0.5,0.0,0.7607182352166999,9.418661374139647e-05
adult,DT,f_classif,balanced_accuracy,2,0.2,0.5849638867988125,0.010825332972199455,0.6764466555510568,0.007177413587443702
adult,DT,f_classif,balanced_accuracy,4,0.3,0.6422132270784103,0.0057308923133216816,0.7306212754114494,0.0033797848001880966
adult,DT,f_classif,log_loss,1,0.1,0.5,0.0,0.7607182352166999,9.418661374139647e-05
adult,DT,f_classif,log_loss,2,0.2,0.5871767839076025,0.007236920888296349,0.6776748843381392,0.006174088420270075
adult,DT,f_classif,log_loss,4,0.3,0.6418754038289116,0.007292858317479715,0.7296180245566121,0.00599377297131908
adult,DT,linear_model,balanced_accuracy,1,0.1,0.5860202750962624,0.006838482216694219,0.7797386825738923,0.00427876068359088
adult,DT,linear_model,balanced_accuracy,2,0.2,0.603274037191247,0.009069522507252853,0.6998894977605316,0.007009201650742698
adult,DT,linear_model,balanced_accuracy,4,0.3,0.5993533339089908,0.007258981231530357,0.7041890466813701,0.006136189893019297
adult,DT,linear_model,log_loss,1,0.1,0.5860204267986414,0.006265213595361764,0.7797385526402927,0.0044458108771807565
adult,DT,linear_model,log_loss,2,0.2,0.605517176443793,0.009870226015696898,0.7024075354781598,0.00756125219406382
adult,DT,linear_model,log_loss,4,0.3,0.5977195614830275,0.006164248658583176,0.70406619655852,0.005138560777759719
adult,DT,random,balanced_accuracy,1,0.1,0.5493216319403389,0.05004276891148713,0.7703619069893379,0.040983951099934274
adult,DT,random,balanced_accuracy,2,0.2,0.6064364727651922,0.0482983067013483,0.7526091253624518,0.04760693527803591
adult,DT,random,balanced_accuracy,4,0.3,0.6578997945459377,0.05668377154369367,0.7778772663982491,0.04068436470869387
adult,DT,random,log_loss,1,0.1,0.534347036223493,0.03721218791788298,0.756684203511225,0.030899752149146253
adult,DT,random,log_loss,2,0.2,0.5752927477406822,0.06288813119949412,0.7641984857286802,0.033805631234947585
adult,DT,random,log_loss,4,0.3,0.6698030075565292,0.044085088587481766,0.7725112644048161,0.03977793669322755
adult,KNN,attention,balanced_accuracy,1,0.1,0.5186194161208356,0.0076716815683956635,0.5689979730358441,0.007111160668486946
adult,KNN,attention,balanced_accuracy,2,0.2,0.6076166556423355,0.01613407812516951,0.5352157610294765,0.028818777810599397
adult,KNN,attention,balanced_accuracy,4,0.3,0.694193542453019,0.010976158984572354,0.7768723180238022,0.009812446981911528
adult,KNN,attention,log_loss,1,0.1,0.6247881104964214,0.011939971943763472,0.557634944426142,0.008913528316601794
adult,KNN,attention,log_loss,2,0.2,0.6866416738427257,0.011567296745113888,0.65040300792092,0.014831655716320941
adult,KNN,attention,log_loss,4,0.3,0.7237020056846025,0.0063436607387492225,0.7760329008640166,0.006404150309519266
adult,KNN,decision_tree,balanced_accuracy,1,0.1,0.5003047156500527,0.0002980516640695334,0.23983457776190634,0.00034365964015630954
adult,KNN,decision_tree,balanced_accuracy,2,0.2,0.503378098322689,0.0015080188751966726,0.2526310338439305,0.0024748409848112988
adult,KNN,decision_tree,balanced_accuracy,4,0.3,0.5664951708093081,0.0055341308630217955,0.7278572440496698,0.002714585610130606
adult,KNN,decision_tree,log_loss,1,0.1,0.500304737381404,0.000308985107852697,0.23983458614471923,0.0004644565736605694
adult,KNN,decision_tree,log_loss,2,0.2,0.510007713537493,0.0036657029990285164,0.26628736114918305,0.0036429127859836474
adult,KNN,decision_tree,log_loss,4,0.3,0.5680752048157967,0.0061706981977370425,0.7279393075964212,0.004415624793441757
adult,KNN,f_classif,balanced_accuracy,1,0.1,0.5,0.0,0.2392817647833001,9.418661374133206e-05
adult,KNN,f_classif,balanced_accuracy,2,0.2,0.5503688344339828,0.0070563370385545365,0.7238443621811073,0.005228199963347842
adult,KNN,f_classif,balanced_accuracy,4,0.3,0.6407558347179575,0.00793435934465759,0.7586095134866885,0.004514617380909956
adult,KNN,f_classif,log_loss,1,0.1,0.5026514621994492,0.0008443148053011363,0.2455468947127084,0.0008777691389988417
adult,KNN,f_classif,log_loss,2,0.2,0.5574128608379486,0.005877628831802947,0.7199744617605417,0.004169239274484684
adult,KNN,f_classif,log_loss,4,0.3,0.6421902612093329,0.007451117076759606,0.7596332184049686,0.005514224940320463
adult,KNN,linear_model,balanced_accuracy,1,0.1,0.5265099758083217,0.010579008230680186,0.28635157768729924,0.01831238518941749
adult,KNN,linear_model,balanced_accuracy,2,0.2,0.5991493614261635,0.003567312580200322,0.7529994878101326,0.0016378925266905052
adult,KNN,linear_model,balanced_accuracy,4,0.3,0.6186057726123623,0.008456793496218102,0.7622128446488733,0.0052990286867656755
adult,KNN,linear_model,log_loss,1,0.1,0.5223180296046083,0.00376898289092581,0.2788586632598915,0.007813723259909578
adult,KNN,linear_model,log_loss,2,0.2,0.5992607734019205,0.005290264098990789,0.7520983773389096,0.005391919959624865
adult,KNN,linear_model,log_loss,4,0.3,0.6192062062634341,0.008006543327476067,0.7617419191779479,0.004449756418470104
adult,KNN,random,balanced_accuracy,1,0.1,0.5153619688869545,0.013467997887996425,0.3076064135224831,0.14415137716886323
adult,KNN,random,balanced_accuracy,2,0.2,0.5585216576627543,0.0493232095388673,0.3942668517591752,0.15168180275353899
adult,KNN,random,balanced_accuracy,4,0.3,0.6491291858366935,0.08696752634550632,0.6377646433071202,0.1748669420371682
adult,KNN,random,log_loss,1,0.1,0.5621881880507349,0.07258153728957514,0.4036751299545568,0.18593569064831453
adult,KNN,random,log_loss,2,0.2,0.5505597480577394,0.05840573699799332,0.384812832745279,0.14191705964163537
adult,KNN,random,log_loss,4,0.3,0.6504109045406742,0.06747294983162178,0.6387524572120273,0.1351266308753218
adult,LR,attention,balanced_accuracy,1,0.1,0.5717925077988701,0.004290720077901771,0.7900371735837447,0.0024199571697624523
adult,LR,attention,balanced_accuracy,2,0.2,0.5898939050819112,0.005749788608525546,0.7938863433080423,0.0036361713938062312
adult,LR,attention,balanced_accuracy,4,0.3,0.649287625790824,0.006442708630795984,0.804164296426323,0.0034112533196757736
adult,LR,attention,log_loss,1,0.1,0.5690490852441568,0.006154490978691496,0.7897915278263282,0.003397779720250748
adult,LR,attention,log_loss,2,0.2,0.6065005905068156,0.005772719465664983,0.8021988411599466,0.003408998189549254
adult,LR,attention,log_loss,4,0.3,0.6728790943824489,0.005562181740701387,0.8186394652771316,0.00457152677674213
adult,LR,decision_tree,balanced_accuracy,1,0.1,0.5299426224999552,0.0043424861066071905,0.7644240127351694,0.0029177986915340944
adult,LR,decision_tree,balanced_accuracy,2,0.2,0.529549364995247,0.004450463297125737,0.7646287629399195,0.0029409053229390953
adult,LR,decision_tree,balanced_accuracy,4,0.3,0.5263865048335281,0.00566577369433701,0.7568281573655167,0.0033902097907137496
adult,LR,decision_tree,log_loss,1,0.1,0.5299427605324479,0.0017005134059945655,0.7644240462664209,0.0009054047263046669
adult,LR,decision_tree,log_loss,2,0.2,0.529549492162064,0.0016868950397653279,0.7646287797055453,0.0008711520774898442
adult,LR,decision_tree,log_loss,4,0.3,0.5265291127866827,0.002880944008653064,0.7569099861935071,0.0024320116949565563
adult,LR,f_classif,balanced_accuracy,1,0.1,0.5,0.0,0.7607182352166999,9.418661374139647e-05
adult,LR,f_classif,balanced_accuracy,2,0.2,0.5,0.0,0.7607182352166999,9.418661374139647e-05
adult,LR,f_classif,balanced_accuracy,4,0.3,0.5576736580802444,0.0032572612951747328,0.7494166484340486,0.0028607874749920913
adult,LR,f_classif,log_loss,1,0.1,0.5,0.0,0.7607182352166999,9.418661374139647e-05
adult,LR,f_classif,log_loss,2,0.2,0.5,0.0,0.7607182352166999,9.418661374139647e-05
adult,LR,f_classif,log_loss,4,0.3,0.5572270055161922,0.004369997645376757,0.7493140931011965,0.0016421117160708193
adult,LR,linear_model,balanced_accuracy,1,0.1,0.5860202750962624,0.006838482216694219,0.7797386825738923,0.00427876068359088
adult,LR,linear_model,balanced_accuracy,2,0.2,0.5860202750962624,0.006838482216694219,0.7797386825738923,0.00427876068359088
adult,LR,linear_model,balanced_accuracy,4,0.3,0.605387425435975,0.0071934729443841995,0.7842634022316725,0.004610972438006291
adult,LR,linear_model,log_loss,1,0.1,0.5860204267986414,0.006265213595361764,0.7797385526402927,0.0044458108771807565
adult,LR,linear_model,log_loss,2,0.2,0.5860204267986414,0.006265213595361764,0.7797385526402927,0.0044458108771807565
adult,LR,linear_model,log_loss,4,0.3,0.6054407316558443,0.006544582515160981,0.7843451765713791,0.004766751618270997
adult,LR,random,balanced_accuracy,1,0.1,0.5272499941404226,0.04101825399953105,0.7638504313376371,0.01173899396608626
adult,LR,random,balanced_accuracy,2,0.2,0.6239999512347933,0.04817429436225484,0.8015638724236472,0.018681475973959548
adult,LR,random,balanced_accuracy,4,0.3,0.6344479720776622,0.05487478994106845,0.7970593553449234,0.017818884876019223
adult,LR,random,log_loss,1,0.1,0.5152533133480989,0.02084471806459836,0.7626837617369859,0.009998634756499373
adult,LR,random,log_loss,2,0.2,0.5780784451834937,0.08259676607829086,0.7752142060176861,0.024818744524809113
adult,LR,random,log_loss,4,0.3,0.6183928388746214,0.06757936081170156,0.7954012349559945,0.02333601230087383
adult,MLP,attention,balanced_accuracy,1,0.1,0.5715758705873373,0.003939711875619168,0.7924736130007368,0.00253531118222279
adult,MLP,attention,balanced_accuracy,2,0.2,0.6158667307225429,0.007064557402108371,0.8012774191330998,0.0035647761638610545
adult,MLP,attention,balanced_accuracy,4,0.3,0.6991579281973378,0.015110357505660553,0.8202571344024774,0.003891234013171466
adult,MLP,attention,log_loss,1,0.1,0.6207177834384262,0.0038718356705057,0.8050447264981553,0.0025589637408731623
adult,MLP,attention,log_loss,2,0.2,0.633514371510338,0.007720205628873552,0.8076040369950299,0.002583409828396977
