dataset,model,selection_method,opt_metric,n_features_selected,features_percent,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std
adult,MLP,attention,log_loss,4,0.3,0.7248782770624546,0.007771552184658805,0.8287742148028739,0.005587280288318768
adult,MLP,decision_tree,balanced_accuracy,1,0.1,0.5299426224999552,0.0043424861066071905,0.7644240127351694,0.0029177986915340944
adult,MLP,decision_tree,balanced_accuracy,2,0.2,0.5304989204978243,0.004323361025796904,0.7646901880013446,0.0029578094762694163
adult,MLP,decision_tree,balanced_accuracy,4,0.3,0.5378789324374461,0.005182381962856348,0.7668604773006001,0.0021509391727547135
adult,MLP,decision_tree,log_loss,1,0.1,0.5299427605324479,0.0017005134059945655,0.7644240462664209,0.0009054047263046669
adult,MLP,decision_tree,log_loss,2,0.2,0.530557548617425,0.0015508213653930283,0.7646902089583769,0.000789681514143132
adult,MLP,decision_tree,log_loss,4,0.3,0.5384062039089191,0.0025300759196822875,0.7681094325925442,0.0020133828593030265
adult,MLP,f_classif,balanced_accuracy,1,0.1,0.5,0.0,0.7607182352166999,9.418661374139647e-05
adult,MLP,f_classif,balanced_accuracy,2,0.2,0.5,0.0,0.7607182352166999,9.418661374139647e-05
adult,MLP,f_classif,balanced_accuracy,4,0.3,0.6642257666263528,0.0122934205761054,0.7793703250100383,0.0055716760913333795
adult,MLP,f_classif,log_loss,1,0.1,0.5,0.0,0.7607182352166999,9.418661374139647e-05
adult,MLP,f_classif,log_loss,2,0.2,0.5,0.0,0.7607182352166999,9.418661374139647e-05
adult,MLP,f_classif,log_loss,4,0.3,0.6599471501722166,0.012426477478773585,0.7788379032237783,0.004102135193374058
adult,MLP,linear_model,balanced_accuracy,1,0.1,0.5860202750962624,0.006838482216694219,0.7797386825738923,0.00427876068359088
adult,MLP,linear_model,balanced_accuracy,2,0.2,0.5828262638892195,0.0062181733648848025,0.7796977409157553,0.00416606138863163
adult,MLP,linear_model,balanced_accuracy,4,0.3,0.6239479587012342,0.008754112079459322,0.7885426354054809,0.005367410104956106
adult,MLP,linear_model,log_loss,1,0.1,0.5860204267986414,0.006265213595361764,0.7797385526402927,0.0044458108771807565
adult,MLP,linear_model,log_loss,2,0.2,0.5838521200953741,0.006254775283998333,0.779697615173562,0.004497523169358207
adult,MLP,linear_model,log_loss,4,0.3,0.6225155089645152,0.008936447926432157,0.7892180051084863,0.004965106533551403
adult,MLP,random,balanced_accuracy,1,0.1,0.5389846613431162,0.03897286990800549,0.7696453441438089,0.012565979310520834
adult,MLP,random,balanced_accuracy,2,0.2,0.5808402277528324,0.0632852430383638,0.7804348500356688,0.02036170241250777
adult,MLP,random,balanced_accuracy,4,0.3,0.677995824258989,0.05120224162725801,0.814647682948604,0.019828427843993583
adult,MLP,random,log_loss,1,0.1,0.5128577206909614,0.014285234404191468,0.7625199657645922,0.002496834317580618
adult,MLP,random,log_loss,2,0.2,0.566290843944052,0.0671311339279741,0.7737395854028403,0.012179935381153075
adult,MLP,random,log_loss,4,0.3,0.647041488729045,0.045306527913997224,0.8054749366468916,0.017231556863880688
anneal,DT,attention,balanced_accuracy,3,0.1,0.9189594750943856,0.08685319290610904,0.9632459425717853,0.026768229129659354
anneal,DT,attention,balanced_accuracy,6,0.2,0.8731959261965656,0.1059334542811133,0.937665418227216,0.02825343796187444
anneal,DT,attention,balanced_accuracy,9,0.3,0.8744126781147242,0.08938129957363647,0.9421348314606742,0.020094683424343302
anneal,DT,attention,log_loss,3,0.1,0.5859882677708764,0.09544497143036464,0.830736579275905,0.026628419742947718
anneal,DT,attention,log_loss,6,0.2,0.7786788961961596,0.12907518073036198,0.9142571785268414,0.03555278503422702
anneal,DT,attention,log_loss,9,0.3,0.8329917488734624,0.09399352788524987,0.950948813982522,0.026006355238382524
anneal,DT,decision_tree,balanced_accuracy,3,0.1,0.2902222222222222,0.10851636959065575,0.7728464419475656,0.016476168991678093
anneal,DT,decision_tree,balanced_accuracy,6,0.2,0.9391377420533431,0.09120395324915252,0.9766167290886392,0.013298214663398308
anneal,DT,decision_tree,balanced_accuracy,9,0.3,0.9475149190110826,0.09371660363835625,0.9866416978776529,0.010234834908298735
anneal,DT,decision_tree,log_loss,3,0.1,0.2416598465473146,0.08787173160552493,0.7583770287141074,0.02255630643174967
anneal,DT,decision_tree,log_loss,6,0.2,0.938989617586165,0.10423641651885346,0.9765917602996254,0.011125402085417655
anneal,DT,decision_tree,log_loss,9,0.3,0.9667785592497868,0.06695214796813953,0.985505617977528,0.010611563975018563
anneal,DT,f_classif,balanced_accuracy,3,0.1,0.35601045345674504,0.11899945005797496,0.770649188514357,0.03286384689527874
anneal,DT,f_classif,balanced_accuracy,6,0.2,0.546106533917915,0.12078779648788862,0.8184394506866417,0.025006425373059325
anneal,DT,f_classif,balanced_accuracy,9,0.3,0.7673853367433929,0.08660875358650788,0.8818976279650437,0.036291981895754895
anneal,DT,f_classif,log_loss,3,0.1,0.3233791255632688,0.055469707638700426,0.7716978776529339,0.022602236869406555
anneal,DT,f_classif,log_loss,6,0.2,0.5344120082815735,0.10579524782757306,0.8096129837702872,0.02460006564404976
anneal,DT,f_classif,log_loss,9,0.3,0.7719614541468761,0.10960592097943896,0.8841573033707866,0.039718928846120626
anneal,DT,linear_model,balanced_accuracy,3,0.1,0.22922222222222227,0.026675924318973553,0.7717478152309614,0.010001386192979175
anneal,DT,linear_model,balanced_accuracy,6,0.2,0.5853837230544391,0.08990423302736972,0.9075530586766541,0.01975317652617146
anneal,DT,linear_model,balanced_accuracy,9,0.3,0.8258167803353226,0.07546514826394067,0.9520848938826466,0.014061416643341467
anneal,DT,linear_model,log_loss,3,0.1,0.2283071895424837,0.03344056186358336,0.7661922596754057,0.021711746366392996
anneal,DT,linear_model,log_loss,6,0.2,0.5807866885884788,0.1161227095048252,0.9064669163545569,0.02530360890408037
anneal,DT,linear_model,log_loss,9,0.3,0.8238216112531969,0.06713400125752846,0.947665418227216,0.017508029870232825
anneal,DT,random,balanced_accuracy,3,0.1,0.3387286160841148,0.11684219580667025,0.7805867665418227,0.02902532973404455
anneal,DT,random,balanced_accuracy,6,0.2,0.4602671416392644,0.17336818163585152,0.8050811485642946,0.04629786453412374
anneal,DT,random,balanced_accuracy,9,0.3,0.7266148053424268,0.12499593404818306,0.8763420724094881,0.04158872475948265
anneal,DT,random,log_loss,3,0.1,0.27126890756302524,0.08318707547453799,0.7839825218476905,0.02909992178630019
anneal,DT,random,log_loss,6,0.2,0.5407755957455446,0.18106323239142394,0.8474906367041198,0.049865678577149956
anneal,DT,random,log_loss,9,0.3,0.6308788210936549,0.1594601145150888,0.8530087390761547,0.046543642954778364
anneal,KNN,attention,balanced_accuracy,3,0.1,0.818592132505176,0.13417301844972324,0.9253932584269663,0.0425767762929069
anneal,KNN,attention,balanced_accuracy,6,0.2,0.7186009316770187,0.12218265732632327,0.9053807740324593,0.029171924894113094
anneal,KNN,attention,balanced_accuracy,9,0.3,0.6669611496772622,0.1129128284640668,0.8997752808988764,0.01966703174136147
anneal,KNN,attention,log_loss,3,0.1,0.614569063857427,0.12480973580391806,0.7026466916354557,0.02991822911963153
anneal,KNN,attention,log_loss,6,0.2,0.599771130191207,0.13514294816507222,0.8686641697877653,0.02738351374777646
anneal,KNN,attention,log_loss,9,0.3,0.5960670239110137,0.08248130264818825,0.8663920099875156,0.026113302926218534
anneal,KNN,decision_tree,balanced_accuracy,3,0.1,0.2816140949133277,0.09467964707269545,0.7015480649188515,0.06675739863169576
anneal,KNN,decision_tree,balanced_accuracy,6,0.2,0.9385495067592254,0.0806625729165789,0.9743945068664169,0.011755302155228048
anneal,KNN,decision_tree,balanced_accuracy,9,0.3,0.9443636585068811,0.08022837625225734,0.9844194756554308,0.009389762381899747
anneal,KNN,decision_tree,log_loss,3,0.1,0.3832941074980717,0.07619168159819774,0.28277153558052437,0.14960133278930027
anneal,KNN,decision_tree,log_loss,6,0.2,0.9384013822920473,0.07757704719650542,0.9743695380774031,0.010603335639173341
anneal,KNN,decision_tree,log_loss,9,0.3,0.9464844416027282,0.08030449551474873,0.9832833957553058,0.007935739954341754
anneal,KNN,f_classif,balanced_accuracy,3,0.1,0.3479384768400114,0.11352611881171629,0.7684269662921348,0.02957589391490359
anneal,KNN,f_classif,balanced_accuracy,6,0.2,0.44929479762919666,0.0774431455732415,0.8017977528089888,0.016183251357545114
anneal,KNN,f_classif,balanced_accuracy,9,0.3,0.6626653675963139,0.11643973192940889,0.8641323345817729,0.0363555366595134
anneal,KNN,f_classif,log_loss,3,0.1,0.6245666991434254,0.0920443131136892,0.6436579275905119,0.04269066849275097
anneal,KNN,f_classif,log_loss,6,0.2,0.636244113587464,0.11393561351995601,0.6681398252184769,0.0459137566670973
anneal,KNN,f_classif,log_loss,9,0.3,0.7345060082003816,0.09125332461753641,0.8651810237203496,0.025376641912144015
anneal,KNN,linear_model,balanced_accuracy,3,0.1,0.19241801648195508,0.03163050095341281,0.571123595505618,0.040869739582809796
anneal,KNN,linear_model,balanced_accuracy,6,0.2,0.7246095583160801,0.07200223278553798,0.8573907615480649,0.02606858296054468
anneal,KNN,linear_model,balanced_accuracy,9,0.3,0.7767811878374538,0.10582759408078941,0.9431335830212234,0.02399005975272107
anneal,KNN,linear_model,log_loss,3,0.1,0.3933095238095238,0.05583427250707722,0.17151061173533083,0.01428841238993573
anneal,KNN,linear_model,log_loss,6,0.2,0.6338975459749117,0.10503318783828805,0.8719475655430712,0.03235656258200363
anneal,KNN,linear_model,log_loss,9,0.3,0.7796012361466326,0.09438036313237057,0.9398501872659176,0.014224273972523838
anneal,KNN,random,balanced_accuracy,3,0.1,0.2922092112207202,0.0865434089829608,0.3618976279650437,0.25696129012658847
anneal,KNN,random,balanced_accuracy,6,0.2,0.41140196078431374,0.16385942074964635,0.622996254681648,0.2624295733998304
anneal,KNN,random,balanced_accuracy,9,0.3,0.5449338996468153,0.10830939972745733,0.7986392009987515,0.16171278277694495
anneal,KNN,random,log_loss,3,0.1,0.4037453314659197,0.13954312892578305,0.34399500624219725,0.22799008251816208
anneal,KNN,random,log_loss,6,0.2,0.47873392400438436,0.14045565248038855,0.41220973782771536,0.17684182692721465
anneal,KNN,random,log_loss,9,0.3,0.6543456339057362,0.2293383706755566,0.7275156054931335,0.19910385056967259
anneal,LR,attention,balanced_accuracy,3,0.1,0.5604287338123656,0.07325638842571051,0.8897877652933832,0.02116699543382598
anneal,LR,attention,balanced_accuracy,6,0.2,0.6585885702106931,0.10667576216220855,0.8975905118601748,0.01702899173948675
anneal,LR,attention,balanced_accuracy,9,0.3,0.5286149677262209,0.09114901857902007,0.8574656679151061,0.021428517537191806
anneal,LR,attention,log_loss,3,0.1,0.2595076726342711,0.030783015556660777,0.7706242197253432,0.014635233453484569
anneal,LR,attention,log_loss,6,0.2,0.5474086489668332,0.084815399697157,0.8240699126092383,0.022574771136768774
anneal,LR,attention,log_loss,9,0.3,0.5686370113262696,0.10758388818363213,0.8564044943820225,0.027189165454743914
anneal,LR,decision_tree,balanced_accuracy,3,0.1,0.21222222222222223,0.02108185106778919,0.7628339575530587,0.00983921137477495
anneal,LR,decision_tree,balanced_accuracy,6,0.2,0.7942582308285633,0.09314062780305324,0.9454431960049938,0.014308420890948435
anneal,LR,decision_tree,balanced_accuracy,9,0.3,0.9125495067592254,0.10467321365928876,0.9699375780274657,0.015752757781138133
anneal,LR,decision_tree,log_loss,3,0.1,0.2125294117647059,0.024144015555005297,0.7583770287141074,0.021939738320985832
anneal,LR,decision_tree,log_loss,6,0.2,0.7968323285836074,0.09665488346673347,0.9465543071161049,0.015517906517466047
anneal,LR,decision_tree,log_loss,9,0.3,0.9184013822920474,0.09387098107238015,0.9732584269662921,0.011991490369064831
anneal,LR,f_classif,balanced_accuracy,3,0.1,0.2559899119067917,0.04615652865057876,0.7561922596754058,0.02579238506720437
anneal,LR,f_classif,balanced_accuracy,6,0.2,0.2653639832744692,0.0370562514049194,0.7606117353308365,0.020713500493335087
anneal,LR,f_classif,balanced_accuracy,9,0.3,0.3843047334875979,0.06722680562474478,0.7917977528089888,0.01921101377947346
anneal,LR,f_classif,log_loss,3,0.1,0.2655807453416149,0.04738867778443417,0.7606117353308365,0.017084346386066596
anneal,LR,f_classif,log_loss,6,0.2,0.25958784963260667,0.0423964350352503,0.7628589263420724,0.018960964572807014
anneal,LR,f_classif,log_loss,9,0.3,0.34698731376608616,0.05791433414222427,0.7873158551810238,0.014094310675030449
anneal,LR,linear_model,balanced_accuracy,3,0.1,0.22922222222222227,0.026675924318973553,0.7717478152309614,0.010001386192979175
anneal,LR,linear_model,balanced_accuracy,6,0.2,0.47270421791905165,0.0677343723676704,0.8730337078651684,0.02119628132812423
anneal,LR,linear_model,balanced_accuracy,9,0.3,0.7103088945723217,0.10124336796009147,0.9231460674157305,0.023829552018873743
anneal,LR,linear_model,log_loss,3,0.1,0.2283071895424837,0.03344056186358336,0.7661922596754057,0.021711746366392996
anneal,LR,linear_model,log_loss,6,0.2,0.47686938253562294,0.05831361656701385,0.8741323345817728,0.024311703542688155
anneal,LR,linear_model,log_loss,9,0.3,0.7069669650468884,0.09634366508607987,0.9242821473158551,0.01718621999795346
anneal,LR,random,balanced_accuracy,3,0.1,0.31791821946169774,0.08651198256511393,0.7973408239700375,0.03726098788126006
anneal,LR,random,balanced_accuracy,6,0.2,0.42966837169650474,0.14612765544659934,0.8251310861423221,0.05069238303253012
anneal,LR,random,balanced_accuracy,9,0.3,0.45332464580034915,0.15169634225867032,0.833083645443196,0.05111864537545593
anneal,LR,random,log_loss,3,0.1,0.2781904761904762,0.09282628709971964,0.782896379525593,0.028095096694920677
anneal,LR,random,log_loss,6,0.2,0.33955888442333454,0.10261250909876081,0.8062921348314607,0.03494229154554092
anneal,LR,random,log_loss,9,0.3,0.503931869849389,0.15693963617811654,0.8509238451935082,0.048351975578263144
anneal,MLP,attention,balanced_accuracy,3,0.1,0.7196959870904884,0.11276401747767945,0.9198751560549313,0.021326344070671292
anneal,MLP,attention,balanced_accuracy,6,0.2,0.7018330999066293,0.13464644551473945,0.9154057428214731,0.021645794438260747
anneal,MLP,attention,balanced_accuracy,9,0.3,0.6415657755855966,0.11200303003054181,0.8942197253433208,0.016711589947949277
anneal,MLP,attention,log_loss,3,0.1,0.39729265619291193,0.11746456497630996,0.7828089887640449,0.03313728485605712
anneal,MLP,attention,log_loss,6,0.2,0.6228217025940811,0.09704507602231174,0.8808614232209738,0.01731289909853313
anneal,MLP,attention,log_loss,9,0.3,0.6363356473023993,0.10361811925415525,0.8675280898876405,0.025689787886115773
anneal,MLP,decision_tree,balanced_accuracy,3,0.1,0.2255265700483092,0.03941383922309402,0.7628464419475656,0.01509484394582527
anneal,MLP,decision_tree,balanced_accuracy,6,0.2,0.8278436244062842,0.10747692624348051,0.9654806491885143,0.016927317718209652
anneal,MLP,decision_tree,balanced_accuracy,9,0.3,0.9206325660699063,0.09946837961504156,0.9788514357053681,0.012219296661273698
anneal,MLP,decision_tree,log_loss,3,0.1,0.22494142004627937,0.03979267249162515,0.7583895131086142,0.02361462079693265
anneal,MLP,decision_tree,log_loss,6,0.2,0.8384013822920473,0.0958895061714321,0.9688139825218476,0.008787058888013717
anneal,MLP,decision_tree,log_loss,9,0.3,0.9238280051150894,0.08984645894316079,0.9788264669163546,0.00826513432930365
anneal,MLP,f_classif,balanced_accuracy,3,0.1,0.29917011732229126,0.08099328494737805,0.7628714107365793,0.03005535402502564
anneal,MLP,f_classif,balanced_accuracy,6,0.2,0.4779719583485568,0.13051564297677734,0.7973283395755306,0.0304705740314388
anneal,MLP,f_classif,balanced_accuracy,9,0.3,0.6609559330978769,0.1503913573757416,0.8429338327091136,0.040962025770778385
anneal,MLP,f_classif,log_loss,3,0.1,0.29113542808427717,0.05709045004412178,0.7694756554307116,0.024188619512119345
anneal,MLP,f_classif,log_loss,6,0.2,0.48243306742987047,0.10980841341577123,0.8029338327091136,0.02647824999368326
anneal,MLP,f_classif,log_loss,9,0.3,0.6467509641537774,0.13063889142781113,0.8340574282147315,0.034620776414881725
anneal,MLP,linear_model,balanced_accuracy,3,0.1,0.240062558356676,0.035072123638071495,0.768414481897628,0.011791420839190311
anneal,MLP,linear_model,balanced_accuracy,6,0.2,0.5621843360532619,0.10032868698852673,0.8908239700374532,0.021788060431410797
anneal,MLP,linear_model,balanced_accuracy,9,0.3,0.7967932651321398,0.10557952964394378,0.9531960049937578,0.018121203630649108
