dataset,aggregator,trial,n_layers,optimizer__lr,optimizer__weight_decay,n_head,n_hid,attn_dropout,ff_dropout,embed_dim,numerical_passthrough,valid_loss_opt_trial,train_bacc,val_bacc,test_bacc_trial,non_trainable_params,trainable_params,aggregator__cell,aggregator__hidden_size,aggregator__num_layers,aggregator__dropout,label,valid_loss_opt_ds_agg,valid_loss_opt_ds,test_bacc_ds_agg,test_bacc_ds
sylvine,cls,cdb54f36,1,0.00024821007748000896,0.0009494045041492173,16,1024,0.12731995413103703,0.15239538616134768,64,False,0.17591596174025453,93.477,93.3,93.433,0,168321,,,,,0,0.12516884100146408,0.12516884100146408,94.98,95.738
sylvine,cls,1c799d54,4,7.382325383165225e-05,2.287234081222703e-06,4,64,0.4871953029804479,0.10425012291742064,256,False,0.1378489047725026,97.436,95.098,94.474,0,1240833,,,,,0,0.12516884100146408,0.12516884100146408,94.98,95.738
sylvine,cls,b116e4fc,2,2.8967495463027172e-05,0.00010579324121074088,8,32,0.32389375603676474,0.3958072307703411,128,False,0.20599131313993074,92.077,92.339,92.545,0,179905,,,,,0,0.12516884100146408,0.12516884100146408,94.98,95.738
sylvine,cls,3ce2c75e,4,1.6249739607092763e-05,3.1258507673908128e-06,32,512,0.02695383473586488,0.2074678908858038,256,False,0.19670004111010492,92.534,93.31,93.526,0,2160129,,,,,0,0.12516884100146408,0.12516884100146408,94.98,95.738
sylvine,cls,4f9e387a,3,0.0007680955464604629,2.680495208393574e-06,1,512,0.45716113064096836,0.3060110869594081,32,False,0.181972452483563,92.891,92.418,93.439,0,126849,,,,,0,0.12516884100146408,0.12516884100146408,94.98,95.738
sylvine,cls,a6f3ecf4,2,2.694748256082545e-05,0.00012968827648861207,8,32,0.3093702454032356,0.4232028029388044,64,False,0.21981707852606366,90.975,92.208,91.677,0,61441,,,,,0,0.12516884100146408,0.12516884100146408,94.98,95.738
sylvine,cls,bf692a10,1,0.0002898781827449018,0.0008447273719743172,16,1024,0.19376031205147493,0.388674673397582,64,False,0.14389690032819422,97.273,94.982,93.996,0,168321,,,,,0,0.12516884100146408,0.12516884100146408,94.98,95.738
sylvine,cls,2af9fcba,4,9.711499650222181e-05,2.474121569650193e-05,16,64,0.37607405998073856,0.2583984524117649,32,False,0.20068414937795662,92.016,92.493,92.661,0,48033,,,,,0,0.12516884100146408,0.12516884100146408,94.98,95.738
sylvine,cls,ee8068a4,2,0.0007113604027898705,0.0002913567714422303,16,1024,0.194018127441754,0.1608835701446445,64,False,0.1313878013448017,96.92,95.152,94.98,0,317377,,,,,0,0.12516884100146408,0.12516884100146408,94.98,95.738
sylvine,cls,51b87002,1,0.00025700679279848197,1.043125652218063e-06,1,128,0.1346171391751681,0.28033348028407434,32,False,0.19834197044494653,91.076,92.097,92.081,0,26561,,,,,0,0.12516884100146408,0.12516884100146408,94.98,95.738
sylvine,cls,73b518cc,1,0.0002600692315875883,0.000852030253401448,2,1024,0.2844199793098857,0.489452602100326,64,False,0.20380731904970073,91.329,92.143,92.539,0,168321,,,,,0,0.12516884100146408,0.12516884100146408,94.98,95.738
sylvine,cls,e9679988,3,0.0004771967398888832,0.00021981381440054276,1,256,0.012900509117794168,0.2741504381721966,256,False,0.20918195242573304,91.885,91.547,93.238,0,1239041,,,,,0,0.12516884100146408,0.12516884100146408,94.98,95.738
sylvine,cls,d5bccbc4,3,9.274813398100057e-05,2.267722459396026e-05,32,64,0.429471276830704,0.011020178013191662,256,False,0.14157573659239173,95.978,94.471,94.494,0,943553,,,,,0,0.12516884100146408,0.12516884100146408,94.98,95.738
sylvine,cls,1c46c51e,1,0.00037018480541499746,0.00016833733510528977,16,1024,0.49098606309193443,0.2547367191000998,64,False,0.12516884100146408,96.072,95.077,94.875,0,168321,,,,,0,0.12516884100146408,0.12516884100146408,94.98,95.738
sylvine,cls,68f73e7e,1,0.0003146160111813657,0.0007712262379396843,16,1024,0.23800653684473788,0.4906885205929866,64,False,0.1273471995097825,97.763,95.373,94.977,0,168321,,,,,0,0.12516884100146408,0.12516884100146408,94.98,95.738
sylvine,concatenate,64e18b62,3,4.389529322963899e-05,1.357130154282795e-06,1,256,0.4096646608708987,0.24870804200993735,64,False,0.1854134164547275,93.02,93.305,93.427,0,324801,,,,,0,0.14636762944663442,0.12516884100146408,94.555,95.738
sylvine,concatenate,edf86cea,2,0.0001834503879053847,1.9126614406662845e-05,8,1024,0.2681935889339344,0.1394304460624871,128,False,0.15718131658507553,96.722,93.916,93.795,0,1000961,,,,,0,0.14636762944663442,0.12516884100146408,94.555,95.738
sylvine,concatenate,3f091e36,3,1.131873864806784e-05,0.0007762381135010163,4,512,0.12037164497931327,0.08743345899240376,256,False,0.188994701124228,93.054,93.5,93.622,0,2255361,,,,,0,0.14636762944663442,0.12516884100146408,94.555,95.738
sylvine,concatenate,44afac70,3,0.0008659389323769199,4.869870743968738e-06,1,512,0.018551782185040777,0.4882214656932338,256,False,0.18970210087007883,92.852,93.235,93.023,0,2255361,,,,,0,0.14636762944663442,0.12516884100146408,94.555,95.738
sylvine,concatenate,d8350f04,2,1.2640117688385937e-05,1.2077113574650312e-05,16,256,0.35869198375079014,0.27462274958642124,128,False,0.20151099359094188,92.173,92.244,92.347,0,606209,,,,,0,0.14636762944663442,0.12516884100146408,94.555,95.738
sylvine,concatenate,036c0bae,2,0.00011467263985723523,1.3562097925897072e-05,8,64,0.3165472138789737,0.00462680515018446,32,False,0.17811594445456783,94.449,93.225,93.617,0,108737,,,,,0,0.14636762944663442,0.12516884100146408,94.555,95.738
sylvine,concatenate,30bd4b7c,3,1.1801345040199043e-05,0.000835389930440605,4,64,0.11950578189940142,0.0012895951887053059,256,False,0.18925042509373913,93.021,93.204,93.424,0,1565889,,,,,0,0.14636762944663442,0.12516884100146408,94.555,95.738
sylvine,concatenate,c2bf2470,1,6.384108822804396e-05,0.0001772760241498706,32,128,0.007044281712560774,0.1769096677938452,32,False,0.18764373196381223,93.28,93.215,93.331,0,104353,,,,,0,0.14636762944663442,0.12516884100146408,94.555,95.738
sylvine,concatenate,cd7adcf6,3,2.003724926252371e-05,0.00045691962015042593,32,512,0.0692823716252528,0.08977624981639354,256,False,0.15660482941597942,96.626,93.616,93.696,0,2255361,,,,,0,0.14636762944663442,0.12516884100146408,94.555,95.738
sylvine,concatenate,5184ce8e,3,2.6730182263368254e-05,0.0009633146508084701,32,512,0.11164629572405585,0.08690672742107411,256,False,0.15826545703567696,96.237,94.001,93.62,0,2255361,,,,,0,0.14636762944663442,0.12516884100146408,94.555,95.738
sylvine,concatenate,d8840d06,4,0.00031500202554300563,3.546619283251633e-05,2,1024,0.2159165548700433,0.13605509020727263,128,False,0.18959116016942903,96.449,91.581,92.584,0,1660673,,,,,0,0.14636762944663442,0.12516884100146408,94.555,95.738
sylvine,concatenate,52ffbb08,3,0.0005038426188260267,1.5078139192258487e-05,2,1024,0.3341698487066589,0.1292852484791886,128,False,0.14636762944663442,96.619,94.559,93.772,0,1330817,,,,,0,0.14636762944663442,0.12516884100146408,94.555,95.738
