dataset,cluster,model,selection_method,opt_metric,n_features_selected,features_percent,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std
adult,C0,KNN,attention,log_loss,1,0.1,0.4998962047304863,0.00024519900959300053,0.23930224399518157,0.00016687644350955893
adult,C0,KNN,decision_tree,log_loss,1,0.1,0.4998962047304863,0.00024519900959300053,0.23930224399518157,0.00016687644350955893
adult,C0,KNN,f_classif,log_loss,1,0.1,0.4998962047304863,0.00024519900959300053,0.23930224399518157,0.00016687644350955893
adult,C0,KNN,linear_model,log_loss,1,0.1,0.5202481815397995,0.0017896148780223258,0.2701774431917728,0.0025787903780048575
adult,C0,KNN,random,log_loss,1,0.1,0.5068483211886423,0.018797096717006946,0.2504611259626613,0.02891759245242062
adult,C0,KNN,random_1,log_loss,1,0.1,0.5016470667281128,0.0022094191583194225,0.24268052597121176,0.004646620051821182
adult,C0,KNN,random_2,log_loss,1,0.1,0.5140642627324058,0.02114944666746928,0.26090174337359595,0.03263862095232309
adult,C0,KNN,random_3,log_loss,1,0.1,0.5150735087701769,0.019462566452443073,0.3439084571684367,0.19947657733792556
adult,C0,KNN,random_4,log_loss,1,0.1,0.5077094249510883,0.01579866709298476,0.2515463062392438,0.024226947309059176
adult,C0,MLP,attention,log_loss,1,0.1,0.5,0.0,0.7607182352166999,9.418661374139647e-05
adult,C0,MLP,decision_tree,log_loss,1,0.1,0.5,0.0,0.7607182352166999,9.418661374139647e-05
adult,C0,MLP,f_classif,log_loss,1,0.1,0.5,0.0,0.7607182352166999,9.418661374139647e-05
adult,C0,MLP,linear_model,log_loss,1,0.1,0.5915511191077194,0.00425036440948895,0.8021169871835173,0.002511810159111208
adult,C0,MLP,random,log_loss,1,0.1,0.5162487784976013,0.030442313325062743,0.7665739904788011,0.013110562934118315
adult,C0,MLP,random_1,log_loss,1,0.1,0.5034504649612523,0.010911328264161784,0.761864836363301,0.003601990092577997
adult,C0,MLP,random_2,log_loss,1,0.1,0.5326056966193458,0.039126652552191964,0.7698908432019997,0.013105920715100382
adult,C0,MLP,random_3,log_loss,1,0.1,0.5337527298073782,0.04213138642593229,0.774805049303514,0.019930988799825237
adult,C0,MLP,random_4,log_loss,1,0.1,0.521136958335878,0.03802841871197133,0.7670859665844313,0.01435434342578357
anneal,C0,KNN,attention,log_loss,3,0.1,0.4148106604960825,0.06132194223169445,0.704956304619226,0.03848376566955351
anneal,C0,KNN,decision_tree,log_loss,3,0.1,0.8389416636219705,0.08606241401507166,0.6694631710362048,0.13225826886452566
anneal,C0,KNN,f_classif,log_loss,3,0.1,0.520848252344416,0.09137568447382735,0.2996629213483146,0.1594250503440715
anneal,C0,KNN,linear_model,log_loss,3,0.1,0.7868190232614785,0.05161886699710393,0.7995755305867666,0.037650389402853174
anneal,C0,KNN,random,log_loss,3,0.1,0.3415005886412536,0.1682731819869441,0.2765168539325843,0.15775163578679943
anneal,C0,KNN,random_1,log_loss,3,0.1,0.4013416352048066,0.1709710463784718,0.24741573033707862,0.22875734435133643
anneal,C0,KNN,random_2,log_loss,3,0.1,0.2786702594081111,0.05464123692115636,0.21602996254681645,0.16651273776097056
anneal,C0,KNN,random_3,log_loss,3,0.1,0.30958354646206304,0.18080969837103789,0.2160299625468165,0.1752817999320016
anneal,C0,KNN,random_4,log_loss,3,0.1,0.35458911825599804,0.1643474895330675,0.3860923845193508,0.2984996779178756
anneal,C0,MLP,attention,log_loss,3,0.1,0.3161579994316567,0.097230902421757,0.7695131086142322,0.014452426472673472
anneal,C0,MLP,decision_tree,log_loss,3,0.1,0.6522156862745098,0.08741994745488191,0.8775405742821473,0.021487948433733802
anneal,C0,MLP,f_classif,log_loss,3,0.1,0.5391261722080136,0.13887073843793962,0.8575280898876404,0.02293958562234701
anneal,C0,MLP,linear_model,log_loss,3,0.1,0.6348769942759713,0.12591937326235553,0.9009862671660425,0.04224071097578891
anneal,C0,MLP,random,log_loss,3,0.1,0.26394397759103644,0.08801363113511784,0.7795006242197253,0.03095653246177599
