dataset,aggregator,architecture_name,attn_dropout,embed_dim,ff_dropout,n_head,n_layers,numerical_passthrough,optimizer__lr,optimizer__weight_decay,aggregator__cell,aggregator__dropout,aggregator__hidden_size,aggregator__num_layers,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,log_loss_mean,log_loss_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,selection_metric,selection_mode,balanced_accuracy_test_mean,balanced_accuracy_test_std,balanced_accuracy_test_max,balanced_accuracy_test_min,accuracy_test_mean,accuracy_test_std,accuracy_test_max,accuracy_test_min,log_loss_test_mean,log_loss_test_std,log_loss_test_max,log_loss_test_min,roc_auc_test_mean,roc_auc_test_std,roc_auc_test_max,roc_auc_test_min,f1_test_mean,f1_test_std,f1_test_max,f1_test_min,precision_test_mean,precision_test_std,precision_test_max,precision_test_min,recall_test_mean,recall_test_std,recall_test_max,recall_test_min,checkpoint_dir
adult,max,A11,0.3,128,0.1,8,3,False,0.0001,0.0001,,,,,0.7938746772206546,0.015586334869984002,0.8612598644655876,0.003481321310752652,0.29974663559872894,0.003680088741538998,0.7938746772206546,0.015586334869983974,0.9100480243131743,0.0022620606282425845,0.8972610363433414,0.010523259170764972,0.9234293544413094,0.01225550205006986,balanced_accuracy,max,0.782032139978553,0.0026242636703633438,0.7848154099652309,0.7780753830612699,0.8467396867642544,0.0013798356267584796,0.8479885351622479,0.8446105026102979,0.34871628282189115,0.005559220768724102,0.3551771608845288,0.34210770139062513,0.782032139978553,0.002624263670363343,0.7848154099652309,0.7780753830612699,0.9001348803740695,0.0012740041654626558,0.9014533147521402,0.8982300884955752,0.8954461748450955,0.0022317048595777984,0.8981096661750905,0.8922753547031004,0.9048947297840956,0.004772794572875044,0.9108220463993563,0.8983505431138528,checkpoint/adult/best/balanced_accuracy/T3
adult,cls,A1,0.3,128,0.1,4,2,False,0.0001,0.0001,,,,,0.7860447341915535,0.006501062391141712,0.8612854792020688,0.004198444257495553,0.29884947042800347,0.006954612759746648,0.7860447341915535,0.0065010623911416834,0.9107003002158933,0.0029802618656519894,0.891586552324328,0.004097187279217727,0.9307028017164404,0.007685472133221996,log_loss,min,0.7822263213357505,0.0011921163554470403,0.783841777053492,0.7806998301217638,0.8562391237588288,0.001654701251080826,0.8579179035725253,0.853618589415498,0.310593698328116,0.0009931802850498299,0.31226493352194673,0.30977207688718755,0.7822263213357505,0.0011921163554470065,0.783841777053492,0.7806998301217638,0.9073979160101715,0.0013010474679061653,0.9087922197397819,0.9053732133403918,0.8925512789521667,0.0011381983780906395,0.8936642717178315,0.8909934286818709,0.9227571409413974,0.0037440696280846507,0.9273166152608288,0.9173930535067721,checkpoint/adult/best/log_loss/T4
anneal,cls,A47,0.3,256,0.1,8,5,False,0.0001,0.0001,,,,,0.9567727272727273,0.08887154115039458,0.9944250194250195,0.007633933778331859,0.03296479399040615,0.04779428857630325,,,,,,,,,balanced_accuracy,max,0.9963636363636363,0.008131156281817428,1.0,0.9818181818181818,0.9988888888888889,0.0024845199749997547,1.0,0.9944444444444445,0.004609471551850709,0.002918872886794306,0.007870586640212666,0.001344077748743948,,,,,,,,,,,,,,,,,checkpoint/anneal/best/balanced_accuracy/T0
anneal,concatenate,A37,0.3,256,0.1,4,4,False,0.0001,0.0001,,,,,0.9525993883792049,0.08679737380664075,0.9944153069153069,0.009115928993101645,0.022445254550056505,0.024518380040135235,,,,,,,,,log_loss,min,0.9963636363636363,0.008131156281817414,1.0,0.9818181818181818,0.9988888888888889,0.00248451997499977,1.0,0.9944444444444445,0.006273822958185157,0.0023175226738082933,0.009931748458153174,0.0035321634814118002,,,,,,,,,,,,,,,,,checkpoint/anneal/best/log_loss/T1
australian,max,A2,0.3,128,0.1,4,3,True,0.0001,0.0001,,,,,0.8771777161419829,0.03167768561003225,0.8731367731367732,0.036434998338436664,0.3408268290102249,0.05639183002299338,0.877177716141983,0.03167768561003226,0.8665626776474659,0.03126574409668281,0.8276431901431902,0.06809905406156216,0.9146938775510204,0.044064622568440605,balanced_accuracy,max,0.8634873323397914,0.016326011749222574,0.8824781775601447,0.8466042154566744,0.8666666666666668,0.016682412222059944,0.8840579710144928,0.8478260869565217,0.33125304587301424,0.012542026479589906,0.3447312264178549,0.3186495800596816,0.8634873323397914,0.01632601174922253,0.8824781775601447,0.8466042154566745,0.8472393998294905,0.018206027216369502,0.8688524590163934,0.8292682926829268,0.8591393077837666,0.02666041131987302,0.8947368421052632,0.8225806451612904,0.8360655737704918,0.02007778477691129,0.8688524590163934,0.819672131147541,checkpoint/australian/best/balanced_accuracy/T0
australian,sum,A35,0.3,256,0.1,4,3,False,0.0001,0.0001,,,,,0.8667879644718808,0.02629273330704141,0.8677641277641278,0.0258858421228859,0.31815992391690556,0.06000827050077636,0.8667879644718808,0.02629273330704134,0.8525790038635954,0.02748932993841381,0.8485760686796949,0.0334186132888451,0.8577959183673469,0.04043248082963931,log_loss,min,0.879007877368533,0.027520971856883847,0.9019586970406642,0.8332978496912923,0.8855072463768116,0.026327394383456455,0.9057971014492754,0.8405797101449275,0.7298140551798306,0.15196382154929067,0.9382367812733158,0.5827640257493436,0.879007877368533,0.027520971856883847,0.9019586970406642,0.8332978496912923,0.8637820528562097,0.03231561231090046,0.8907563025210085,0.8103448275862069,0.9098136915218158,0.03303385277773368,0.9411764705882353,0.8545454545454545,0.8229508196721312,0.04243337411654028,0.8688524590163934,0.7704918032786885,checkpoint/australian/best/log_loss/T3
jasmine,rnn,A39,0.3,256,0.1,4,5,False,0.0001,0.0001,GRU,0.0,256.0,1.0,0.8238112653479084,0.007954260070164431,0.8257221301193829,0.007628747166655229,0.40088270610836557,0.022426445103554172,0.8238112653479084,0.007954260070164455,0.8445901028386403,0.004640650103862457,0.773799036155316,0.01457567185139911,0.9300411522633745,0.012683979429977356,balanced_accuracy,max,0.7985367779783393,0.00926254533230004,0.810773916967509,0.7869302797833935,0.7922948073701843,0.008541071212048229,0.8023450586264657,0.7822445561139029,0.4981344088436671,0.01976527462554223,0.5152564652768746,0.4743780321827511,0.7985367779783393,0.009262545332299978,0.810773916967509,0.7869302797833936,0.7980515625475004,0.010573069642981948,0.8132911392405063,0.7840531561461794,0.7269474619305796,0.009889371769917141,0.7430340557275542,0.7159420289855073,0.8851985559566786,0.028813097385176747,0.927797833935018,0.851985559566787,checkpoint/jasmine/best/balanced_accuracy/T2
jasmine,rnn,A39,0.3,256,0.1,4,5,False,0.0001,0.0001,GRU,0.0,256.0,1.0,0.8238112653479084,0.007954260070164431,0.8257221301193829,0.007628747166655229,0.40088270610836557,0.022426445103554172,0.8238112653479084,0.007954260070164455,0.8445901028386403,0.004640650103862457,0.773799036155316,0.01457567185139911,0.9300411522633745,0.012683979429977356,log_loss,min,0.7954388537906137,0.02100096840249901,0.8286890794223827,0.7766132671480144,0.788609715242881,0.02049446421331029,0.8207705192629816,0.7688442211055276,0.5045073116704158,0.025060865975885815,0.5288835024321273,0.4776806176254038,0.7954388537906136,0.021000968402499015,0.8286890794223827,0.7766132671480144,0.7961387017161355,0.02081339449876352,0.8293460925039873,0.779050736497545,0.7202113144928608,0.01653282729040744,0.7428571428571429,0.698005698005698,0.8902527075812274,0.031842710572129895,0.9386281588447654,0.8592057761732852,checkpoint/jasmine/best/log_loss/T1
kr-vs-kp,concatenate,A39,0.3,256,0.1,4,5,False,0.0001,0.0001,,,,,0.9988432824357123,0.0016880799324685307,0.998825831702544,0.0017503467534245084,0.004621333469090683,0.004165172714145936,0.9988432824357123,0.0016880799324685307,0.9987628760575621,0.0018418223509500437,0.9983606557377049,0.003665685209016057,0.9991735537190083,0.001847990064049413,balanced_accuracy,max,0.9965592679044057,0.002319749516202796,1.0,0.9937494506353097,0.9965624999999999,0.002317562027217382,1.0,0.99375,0.012305985563772716,0.007145490747321466,0.018556121258502957,0.0015652500984898658,0.9965592679044055,0.002319749516202799,1.0,0.9937494506353097,0.996528473395428,0.002340504929813563,1.0,0.9936908517350158,0.9968434293016013,0.0022306252285113296,1.0,0.9936908517350158,0.9962145110410094,0.002639306077394537,1.0,0.9936908517350158,checkpoint/kr-vs-kp/best/balanced_accuracy/T3
kr-vs-kp,concatenate,A39,0.3,256,0.1,4,5,False,0.0001,0.0001,,,,,0.9988432824357123,0.0016880799324685307,0.998825831702544,0.0017503467534245084,0.004621333469090683,0.004165172714145936,0.9988432824357123,0.0016880799324685307,0.9987628760575621,0.0018418223509500437,0.9983606557377049,0.003665685209016057,0.9991735537190083,0.001847990064049413,log_loss,min,0.9959342129679367,0.0020703435978153724,0.9968747253176549,0.9922307624693576,0.9959374999999999,0.0020963137289060204,0.996875,0.9921875,0.014296224950682604,0.004152599255192663,0.019887532349959706,0.010288781969505941,0.9959342129679365,0.002070343597815372,0.9968747253176548,0.9922307624693576,0.9959024888494772,0.0020973160676526314,0.9968454258675079,0.9921507064364207,0.9962381703470031,0.005133124395140441,1.0,0.9875,0.9955835962145111,0.001727831411688208,0.9968454258675079,0.9936908517350158,checkpoint/kr-vs-kp/best/log_loss/T0
