dataset,aggregator,n_layers,optimizer__lr,n_head,n_hid,dropout,numerical_passthrough,trial,trial_balanced_accuracy_max,training_iter_sec,non_trainable_params,trainable_params,label,balanced_accuracy_train,balanced_accuracy_val,balanced_accuracy_test,n_parameters,n_trainable
sylvine,cls,2,0.005614550964088092,2,512,0.19933655105104087,True,0,0.8643328367737817,5.400446510314939,0.0,1070400.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,3,0.0969734797928502,32,32,0.3775996282196361,False,1,0.9495789377679142,38.24851706981657,0.0,3290721.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,4,0.006356116028811235,1,64,0.4914561095534663,False,2,0.6880795305992156,8.777577670415242,0.0,36225.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,2,0.00044415825248287244,16,32,0.22590454870802068,True,3,0.5576338430669139,3.125999991099039,0.0,157952.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,3,1.3051441820832306e-05,4,128,0.029896599858121542,False,4,0.5019305019305019,7.945998605092366,0.0,3585921.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,1,0.0006583035448612626,2,128,0.049347946764092876,True,5,0.8191712522421184,9.700419802665706,0.0,346304.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,3,0.04070764571430322,32,512,0.31400090631908356,False,6,0.9262229045693613,24.035763597488405,0.0,4766721.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,4,0.0902181580566047,32,32,0.37998196276391544,False,7,0.9419329340589183,44.110826208591426,0.0,4376705.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,4,0.045292370289740154,1,32,0.4632314654922627,False,8,0.9185008968473536,42.58064732313155,0.0,1139841.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,4,0.018773618312755338,32,32,0.26693626691313943,False,9,0.9223999027148633,27.34444340467452,0.0,4376705.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,2,1.2656461218251945e-05,2,256,0.16673901423194348,True,10,0.47829325388380506,2.979729429880778,0.0,104064.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,4,0.08756582182583413,32,32,0.40019340295077194,False,11,0.9438254339829143,44.42817538261414,0.0,4376705.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,4,0.06725451675193697,1,32,0.47438254156120996,False,12,0.930159912443377,41.39140436887741,0.0,1139841.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,4,0.05942869727823423,1,32,0.35470690848004505,False,13,0.9397744200893807,42.28908177137374,0.0,1139841.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,2,2.143195332442135e-05,4,1024,0.426725508092893,False,14,0.5,6.666857782999674,0.0,667905.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,4,0.09434693121006642,16,256,0.25518034039266074,True,15,0.8932143617182987,3.2096744855244954,0.0,18976832.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,2,3.185278572366917e-05,1,1024,0.29739821284970214,False,16,0.5,6.727099291483559,0.0,143937.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,4,0.030058266816502668,32,512,0.40197279988090373,True,17,0.9010123734533183,5.513862121105193,0.0,2124608.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,1,5.270561450652787e-05,8,1024,0.07890511964819735,False,18,0.4896330526251786,5.632573556900024,0.0,153153.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,3,0.00927697111716298,1,32,0.36076962493377895,False,19,0.9223238987018514,22.32021679083506,0.0,858977.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,4,0.04136699981100957,16,64,0.31425109917372324,True,20,0.8739853464262912,3.182235177357991,0.0,36256.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,3,0.018927135578303094,32,32,0.4256958385414765,False,21,0.9243684066518711,23.753851620356233,0.0,3290721.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,3,0.0020274592714611102,32,32,0.35713138594340416,False,22,0.8100051682728848,7.9710461775461825,0.0,3290721.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,3,0.036182556789753774,1,32,0.32560221429830916,False,23,0.9206594108168911,36.784103171825436,0.0,858977.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,4,0.003501965040698544,1,64,0.4953276247573068,False,24,0.9223238987018514,31.54480339686075,0.0,17404161.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,3,0.015855748926154208,32,32,0.34213821385600796,False,25,0.9205074027908673,24.15272248188653,0.0,3290721.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,1,0.0001244595897590796,8,128,0.16438316295739852,False,26,0.5059055118110236,5.631125020980835,0.0,107777.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,2,1.0714271500742845e-05,16,256,0.28499790389163854,False,27,0.5,7.339704847335816,0.0,9521665.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,4,0.09118717430132281,32,32,0.4040464373201325,False,28,0.9417429240263886,44.12923538446427,0.0,4376705.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,cls,3,0.01111794624446021,32,32,0.4344931548146273,False,29,0.9224759067278752,23.628062434991193,0.0,3290721.0,0,0.9735610133027427,0.9611999513574316,0.9425413355257148,3290721,3290721
sylvine,concatenate,1,0.010887968475769873,2,512,0.24377423417730926,False,0,0.9243304046453653,14.75721111694971,0.0,88129.0,0,0.920683039908228,0.9205074027908673,0.9186763496848451,171137,171137
sylvine,concatenate,3,6.708348320510399e-05,4,128,0.33365309578470115,False,1,0.8602058188672361,7.845239384969076,0.0,308993.0,0,0.920683039908228,0.9205074027908673,0.9186763496848451,171137,171137
sylvine,concatenate,1,1.88235192962484e-05,4,64,0.19898294740330968,True,2,0.5253777399446691,3.0469942251841227,0.0,10525.0,0,0.920683039908228,0.9205074027908673,0.9186763496848451,171137,171137
sylvine,concatenate,3,0.00032846196659611077,8,1024,0.27266449470139414,False,3,0.9186149028668713,36.48978445529935,0.0,2389761.0,0,0.920683039908228,0.9205074027908673,0.9186763496848451,171137,171137
sylvine,concatenate,4,2.3972079568764667e-05,4,512,0.03682008984470897,True,4,0.41136412002553735,2.978245004018148,0.0,335933.0,0,0.920683039908228,0.9205074027908673,0.9186763496848451,171137,171137
