dataset,cluster,model,selection_method,opt_metric,n_features_selected,features_percent,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std
adult,C0,KNN,attention,log_loss,1,0.1,0.5003968253968254,0.0006744734806339687,0.09072517078297425,0.0011338274536824126
adult,C0,KNN,decision_tree,log_loss,1,0.1,0.5078634354061299,0.008406423353558248,0.900607019826673,0.003096888295502072
adult,C0,KNN,f_classif,log_loss,1,0.1,0.5039343938679802,0.012353540502741893,0.11152774649884475,0.023198147740241697
adult,C0,KNN,linear_model,log_loss,1,0.1,0.5078819670850032,0.009589417569081953,0.11875297149863624,0.028792439333811006
adult,C0,KNN,random,log_loss,1,0.1,0.5111762874286594,0.01003141307484881,0.28333687827907483,0.32690091510467584
adult,C0,KNN,random_1,log_loss,1,0.1,0.5160047564506767,0.031415566082975084,0.30382374529773376,0.3213198512634555
adult,C0,KNN,random_2,log_loss,1,0.1,0.5156093189964157,0.010227519381224189,0.28781789822252246,0.32623704463776837
adult,C0,KNN,random_3,log_loss,1,0.1,0.5126310710276555,0.008813207897957741,0.20950817005730302,0.24526394831647874
adult,C0,KNN,random_4,log_loss,1,0.1,0.5135482242882622,0.015469504626536052,0.44666441458348977,0.39403463970732927
adult,C0,MLP,attention,log_loss,1,0.1,0.5,0.0,0.909997372569627,0.0006567116086973893
adult,C0,MLP,decision_tree,log_loss,1,0.1,0.5,0.0,0.909997372569627,0.0006567116086973893
adult,C0,MLP,f_classif,log_loss,1,0.1,0.5,0.0,0.909997372569627,0.0006567116086973893
adult,C0,MLP,linear_model,log_loss,1,0.1,0.5,0.0,0.909997372569627,0.0006567116086973893
adult,C0,MLP,random,log_loss,1,0.1,0.5034507223406655,0.006208558002225347,0.9097083552285865,0.001946634538917988
adult,C0,MLP,random_1,log_loss,1,0.1,0.49984126984126986,0.0005019488349473598,0.9097083552285865,0.001002506149958808
adult,C0,MLP,random_2,log_loss,1,0.1,0.5021812596006144,0.006897748506050844,0.909997372569627,0.0006567116086973893
adult,C0,MLP,random_3,log_loss,1,0.1,0.5031746031746032,0.010038976698947226,0.9105754072517078,0.0015618545674849539
adult,C0,MLP,random_4,log_loss,1,0.1,0.5,0.0,0.909997372569627,0.0006567116086973893
adult,C1,KNN,attention,log_loss,1,0.1,0.5094420287999818,0.005882720511467786,0.7598531504641,0.0036590514809702467
adult,C1,KNN,decision_tree,log_loss,1,0.1,0.8441284904758654,0.019148527840528225,0.9229650760065994,0.008893631894567773
adult,C1,KNN,f_classif,log_loss,1,0.1,0.542420091713889,0.10236472063601947,0.7759335524741502,0.050609613173713305
adult,C1,KNN,linear_model,log_loss,1,0.1,0.602051116838488,0.017102770802525855,0.8072757270059571,0.00812659442278206
adult,C1,KNN,random,log_loss,1,0.1,0.5333294929564644,0.10546839244077452,0.7663902217856198,0.056950717138962624
adult,C1,KNN,random_1,log_loss,1,0.1,0.5373406599189823,0.11322538280588498,0.7746344504477273,0.05280526932218049
adult,C1,KNN,random_2,log_loss,1,0.1,0.5551848643635784,0.10250377860058021,0.7786872961297717,0.05272643487528809
adult,C1,KNN,random_3,log_loss,1,0.1,0.5384172100088755,0.10989135225417664,0.7746382287376733,0.053923197050004056
adult,C1,KNN,random_4,log_loss,1,0.1,0.5442481822216154,0.12017644256618953,0.7711804637221193,0.0648125000835883
adult,C1,MLP,attention,log_loss,1,0.1,0.5439007703511527,0.014221280395796383,0.7656225992115968,0.005861751940376029
adult,C1,MLP,decision_tree,log_loss,1,0.1,0.7050335250677044,0.02804612805218361,0.8484357879623682,0.01597618194206979
adult,C1,MLP,f_classif,log_loss,1,0.1,0.5671485628456339,0.06589445924027831,0.7771803881563204,0.03548705738049077
adult,C1,MLP,linear_model,log_loss,1,0.1,0.5,0.0,0.7578431002128436,0.0010023046029761194
adult,C1,MLP,random,log_loss,1,0.1,0.5693358708267905,0.08720513594635822,0.7831607914258006,0.039540335005138816
adult,C1,MLP,random_1,log_loss,1,0.1,0.5803187086092716,0.0734004443395147,0.7796765783806249,0.028258767639424948
adult,C1,MLP,random_2,log_loss,1,0.1,0.5505311810154525,0.05989278325584091,0.7711300865228397,0.018500042137238444
