dataset,model,architecture_name,fs_method,fs_percent,fs_n_features,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_sum,accuracy_mean,accuracy_std,accuracy_sum,log_loss_mean,log_loss_std,log_loss_sum,inference_time_mean,inference_time_std,inference_time_sum,training_time_mean,training_time_std,training_time_sum,roc_auc_mean,roc_auc_std,roc_auc_sum,f1_mean,f1_std,f1_sum,precision_mean,precision_std,precision_sum,recall_mean,recall_std,recall_sum
adult,mlp/simple,A0,decision_tree,0.4,5,0.5592303655287794,0.011023046837138652,2.796151827643897,0.7747039264302584,0.0038507613177356068,3.873519632151292,0.4654456486558039,0.008167179303753167,2.3272282432790194,0.17373781204223632,0.006388281409312412,0.8686890602111816,0.0,0.0,0.0,0.5592303655287794,0.011023046837138652,2.796151827643897,0.8678309487579149,0.003998979438953475,4.3391547437895746,0.7830154046421919,0.0048970808657061125,3.9150770232109595,0.9735007310575587,0.017234181351007252,4.867503655287794
adult,mlp/simple,A0,decision_tree,0.5,7,0.7218555284449139,0.024760374361670088,3.609277642224569,0.8264019974319762,0.003441332194496674,4.132009987159881,0.378363854684229,0.0050161894321156236,1.891819273421145,0.18327994346618653,0.011326584228103048,0.9163997173309326,0.0,0.0,0.0,0.721855528444914,0.024760374361670095,3.6092776422245696,0.8898183360242676,0.003944233232523723,4.449091680121338,0.8597304421240288,0.015437515037869448,4.298652210620144,0.9228577235564945,0.025047537749046746,4.6142886177824725
adult,mlp/simple,A0,decision_tree,0.6,8,0.7212248000802775,0.03544183183547495,3.6061240004013873,0.8242778050977616,0.004917240937232716,4.121389025488808,0.37851028047770013,0.005415563108629846,1.8925514023885006,0.1710829257965088,0.005121893431455068,0.855414628982544,0.0,0.0,0.0,0.7212248000802775,0.03544183183547501,3.6061240004013873,0.8881496364350857,0.006349807410981703,4.440748182175429,0.8605295586703653,0.023391302783303872,4.302647793351826,0.9193562668272215,0.037474842991723885,4.596781334136107
adult,mlp/simple,A0,decision_tree,0.7,9,0.7428552209188478,0.023514673635317274,3.714276104594239,0.8274770401600486,0.00690741285511273,4.137385200800243,0.37066856491993216,0.010309973361405463,1.8533428245996608,0.17099666595458984,0.006050804028721741,0.8549833297729492,0.0,0.0,0.0,0.7428552209188478,0.023514673635317302,3.714276104594239,0.8885097604224056,0.006806707989884625,4.442548802112028,0.8729816494510697,0.016502202115575102,4.364908247255348,0.9055504418376955,0.029201831290500576,4.527752209188478
adult,mlp/simple,A0,decision_tree,0.8,11,0.7535975623326491,0.016400272689590455,3.7679878116632453,0.8318790510200289,0.007467073090059535,4.1593952551001445,0.3565665587366565,0.008278171104850454,1.7828327936832824,0.17148022651672362,0.0070783066771861825,0.8574011325836182,0.0,0.0,0.0,0.753597562332649,0.016400272689590423,3.767987811663245,0.8908873278448801,0.007123616296683128,4.454436639224401,0.8787256107813242,0.012858034863611381,4.393628053906621,0.9041017913319648,0.026837818065667218,4.520508956659824
adult,mlp/simple,A0,decision_tree,0.9,12,0.7534703448471356,0.016334442732218134,3.7673517242356778,0.8345150566407948,0.006139961680047068,4.172575283203974,0.35178130899546434,0.005566978306861431,1.7589065449773216,0.16903219223022461,0.001804144774159277,0.845160961151123,0.0,0.0,0.0,0.7534703448471356,0.016334442732218228,3.7673517242356778,0.892973132755795,0.006284614348207842,4.464865663778975,0.8778710788771482,0.012872076441537508,4.389355394385741,0.9092873563609377,0.02573746583828972,4.5464367818046885
adult,mlp/simple,A0,f_classif,0.4,5,0.6430032468366667,0.024849869964953718,3.215016234183333,0.805236171571245,0.005775176830565038,4.026180857856225,0.4092935516125441,0.004789161869415073,2.0464677580627204,0.17338247299194337,0.008056400713085483,0.8669123649597168,0.0,0.0,0.0,0.6430032468366665,0.024849869964953707,3.2150162341833326,0.8816984214245753,0.002984435950549192,4.408492107122877,0.8192059388270874,0.012033780146236198,4.096029694135437,0.95491316034,0.016486060560314073,4.7745658017
adult,mlp/simple,A0,f_classif,0.5,7,0.6471634749923889,0.012678978638929203,3.2358173749619445,0.8145011308180716,0.0038459595738704207,4.072505654090358,0.39629461598574683,0.0046154675844508825,1.9814730799287341,0.18796391487121583,0.03441787786902253,0.9398195743560791,0.0,0.0,0.0,0.6471634749923889,0.012678978638929203,3.2358173749619445,0.8881381136816602,0.002301227216092555,4.440690568408301,0.8198918670119593,0.005995791417300921,4.099459335059796,0.968886949984778,0.009326621948307152,4.84443474992389
adult,mlp/simple,A0,f_classif,0.6,8,0.6450830128075389,0.013158622265608494,3.225415064037694,0.8148338047054018,0.0030606188408182533,4.074169023527009,0.3938008258423752,0.004844498157343913,1.969004129211876,0.17748208045959474,0.0023146627693023747,0.8874104022979736,0.0,0.0,0.0,0.6450830128075389,0.013158622265608494,3.225415064037694,0.8885799235319458,0.0016211057774673041,4.442899617659729,0.8188227822003992,0.0062948214279404235,4.094113911001996,0.9714460256150776,0.009061709504527568,4.857230128075388
adult,mlp/simple,A0,f_classif,0.7,9,0.6727487849024,0.02144146775058033,3.3637439245119998,0.8287052079858632,0.007740465622563965,4.143526039929316,0.35699067678629254,0.006035402237782212,1.7849533839314626,0.18021764755249023,0.00285902684137101,0.9010882377624512,0.0,0.0,0.0,0.6727487849024,0.021441467750580392,3.3637439245119998,0.8961945376661431,0.0038043601579675055,4.4809726883307155,0.8310256319703031,0.010057146376248185,4.1551281598515155,0.9725909031381332,0.0063994498499871455,4.862954515690666
adult,mlp/simple,A0,f_classif,0.8,11,0.7665388486424554,0.010989597632821667,3.8326942432122766,0.8519951934295793,0.004157560334895165,4.259975967147897,0.32308664178073493,0.004419469188571929,1.6154332089036747,0.1748140811920166,0.009233975925371573,0.874070405960083,0.0,0.0,0.0,0.7665388486424553,0.010989597632821684,3.832694243212276,0.9052823415264888,0.003430704316614276,4.526411707632444,0.881274400716077,0.007624086518557075,4.406372003580385,0.9308376972849107,0.013836185184542445,4.6541884864245535
adult,mlp/simple,A0,f_classif,0.9,12,0.7755244194768021,0.011323839691124793,3.8776220973840103,0.8551686991260826,0.0036137337689371584,4.275843495630413,0.31639702647356593,0.0041406670702322165,1.5819851323678296,0.1734091281890869,0.00912016812086254,0.8670456409454346,0.0,0.0,0.0,0.775524419476802,0.011323839691124757,3.87762209738401,0.9069363771524221,0.0027896314111673583,4.534681885762111,0.8863639502462041,0.007610110172719442,4.4318197512310205,0.9286488389536041,0.011729421124182939,4.6432441947680205
adult,mlp/simple,A0,linear_model,0.4,5,0.6065832563724465,0.024705267894729092,3.0329162818622324,0.7889329829606817,0.015408869605143165,3.9446649148034085,0.48655147625946105,0.019893045643512453,2.4327573812973053,0.1623821258544922,0.003132869468406407,0.8119106292724609,0.0,0.0,0.0,0.6065832563724465,0.024705267894729172,3.0329162818622324,0.872872860133115,0.014733350361022598,4.364364300665575,0.8037597157543672,0.014235177373957826,4.018798578771836,0.957166512744893,0.051459915793808916,4.7858325637244645
adult,mlp/simple,A0,linear_model,0.5,7,0.6433162633122491,0.014342061437686925,3.216581316561246,0.8018838834639206,0.009436839358826145,4.009419417319603,0.4564200069891452,0.011693457223055566,2.282100034945726,0.16418213844299318,0.004017399451585022,0.8209106922149658,0.0,0.0,0.0,0.6433162633122491,0.014342061437686914,3.216581316561246,0.8791023745907729,0.006949032781164418,4.395511872953865,0.8196213358700344,0.007132045834324493,4.098106679350172,0.948179193291165,0.019432411974920502,4.740895966455825
adult,mlp/simple,A0,linear_model,0.6,8,0.6576498915857798,0.024122168885732462,3.2882494579288988,0.805697328531348,0.009584730782857664,4.02848664265674,0.4453551468777257,0.016872654402733875,2.2267757343886285,0.17094287872314454,0.0077659176229698855,0.8547143936157227,0.0,0.0,0.0,0.6576498915857798,0.024122168885732504,3.2882494579288988,0.8805189179864751,0.006435528960469719,4.4025945899323755,0.8267015168433407,0.01204653093676529,4.133507584216703,0.9422864498382262,0.02055826053601052,4.711432249191131
adult,mlp/simple,A0,linear_model,0.7,9,0.6869083173203665,0.02695448802167509,3.4345415866018323,0.8237654612412945,0.011664986950066056,4.118827306206472,0.3944848949725432,0.02360848209088299,1.972424474862716,0.1689084529876709,0.008068892299236142,0.8445422649383545,0.0,0.0,0.0,0.6869083173203665,0.02695448802167507,3.4345415866018323,0.8912447189699298,0.006978288276063687,4.456223594849649,0.8395686747741811,0.013316654642610054,4.197843373870906,0.9500299679740664,0.01590052639096929,4.750149839870332
adult,mlp/simple,A0,linear_model,0.8,11,0.7256982958166727,0.031296430944908714,3.6284914790833636,0.8347965305312691,0.004460094527483036,4.1739826526563455,0.3605447425540339,0.00787021655038626,1.8027237127701694,0.1790128231048584,0.008309740410993189,0.895064115524292,0.0,0.0,0.0,0.7256982958166727,0.0312964309449087,3.628491479083363,0.8959173936323319,0.0013420450435350478,4.47958696816166,0.8601902828242054,0.017277550692557812,4.300951414121027,0.9354499249666788,0.021237914466462417,4.677249624833394
adult,mlp/simple,A0,linear_model,0.9,12,0.7392745905935938,0.011884393669576464,3.696372952967969,0.8453920543224991,0.0023279584068534483,4.226960271612495,0.33880436584390594,0.004147162629265348,1.6940218292195297,0.17427659034729004,0.005682925138987655,0.8713829517364502,0.0,0.0,0.0,0.7392745905935938,0.01188439366957648,3.6963729529679688,0.9026629265515563,0.0018762928056648162,4.5133146327577816,0.8655179869266106,0.00721741601920474,4.327589934633053,0.9432958478538543,0.011211135482974388,4.716479239269272
adult,mlp/simple,A0,random_1,0.4,5,0.6395901325201274,0.09128565740418575,3.197950662600637,0.782408158593243,0.01571171115352849,3.912040792966215,0.4525799681570376,0.03570718717875185,2.262899840785188,0.1763056755065918,0.004872946507618843,0.881528377532959,0.0,0.0,0.0,0.6395901325201274,0.09128565740418568,3.197950662600637,0.8644535825235138,0.00865611481334158,4.322267912617569,0.8247691878745401,0.046160802603663204,4.123845939372701,0.9141669317069215,0.06476959259609863,4.570834658534608
adult,mlp/simple,A0,random_1,0.5,7,0.683175390930124,0.05104692758823297,3.4158769546506202,0.8203108844944381,0.012281293167663737,4.101554422472191,0.3882396246617702,0.0168679988691274,1.941198123308851,0.17599887847900392,0.0037741988176734458,0.8799943923950195,0.0,0.0,0.0,0.683175390930124,0.05104692758823297,3.4158769546506202,0.8890998621277595,0.004693949186350473,4.445499310638797,0.8390821241660069,0.026970343598207196,4.195410620830034,0.9468307818602482,0.025224460521916403,4.734153909301241
adult,mlp/simple,A0,random_1,0.6,8,0.7450658863654789,0.028389514326537062,3.7253294318273946,0.8297288902360561,0.013032717995020024,4.148644451180281,0.3779143926400125,0.023560719096009312,1.8895719632000625,0.17425403594970704,0.005421337192810274,0.8712701797485352,0.0,0.0,0.0,0.7450658863654789,0.028389514326537045,3.7253294318273946,0.8901520605206612,0.008482135090838174,4.450760302603306,0.8735909675531166,0.01666164329151164,4.367954837765583,0.9078384393976245,0.019796435118326117,4.539192196988123
adult,mlp/simple,A0,random_1,0.7,9,0.7394343993564199,0.01807355090423695,3.6971719967820995,0.8375349950979597,0.007442873637749158,4.187674975489799,0.36446055211376016,0.014075961694037981,1.8223027605688007,0.17086715698242189,0.0013355077031138999,0.8543357849121094,0.0,0.0,0.0,0.7394343993564199,0.018073550904236933,3.6971719967820995,0.8966112812903658,0.006993675911485345,4.483056406451829,0.8679143161656029,0.012880531563618734,4.339571580828014,0.928042132046173,0.028033389246425882,4.640210660230865
adult,mlp/simple,A0,random_1,0.8,11,0.7327735195134825,0.02943934740298741,3.663867597567412,0.8355640457659129,0.007028915619777419,4.177820228829565,0.352572480447091,0.015130940794146524,1.7628624022354549,0.17211427688598632,0.006684592017695888,0.8605713844299316,0.0,0.0,0.0,0.7327735195134825,0.029439347402987415,3.663867597567412,0.895854847438534,0.003570101201484874,4.47927423719267,0.8642623819096947,0.01639822880554497,4.3213119095484736,0.9304003723602984,0.01826751950635089,4.652001861801492
adult,mlp/simple,A0,random_1,0.9,12,0.769944500990145,0.014254500248218454,3.849722504950725,0.8514576868035963,0.005567620010635003,4.2572884340179815,0.32190473901286165,0.009201031583781567,1.6095236950643081,0.17163891792297364,0.004094803063818528,0.8581945896148682,0.0,0.0,0.0,0.769944500990145,0.01425450024821846,3.849722504950725,0.9045635312184107,0.004677034882091557,4.522817656092053,0.8838193540322958,0.010193326945149317,4.419096770161479,0.9266623353136234,0.018277000777326587,4.633311676568117
adult,mlp/simple,A0,random_2,0.4,5,0.5817008600003515,0.039448462302867346,2.9085043000017574,0.7841726015988167,0.01282727551873565,3.920863007994084,0.44787099697146704,0.022729901443513088,2.2393549848573353,0.17269153594970704,0.0014042795048379785,0.8634576797485352,0.0,0.0,0.0,0.5817008600003515,0.039448462302867304,2.9085043000017574,0.8725007984847558,0.005445667880565826,4.362503992423779,0.7924912566471816,0.016667433009875474,3.962456283235908,0.9709750533340363,0.013201876982508659,4.854875266670182
